district_code,no,pref_name,city_name,facility_name,facility_kana,type,address,facility_other_name,lat,lng,access,parking,tel,tel_ext,fax,crop_no,organization,licensed_date,capacity,min_age,day_of_week,available_from,available_from,available_day_info,temporary,url,remark
270008,,大阪府,大阪市,高倉幼稚園,タカクラヨウチエン,,大阪府大阪市都島区高倉町1-13-22,,34.714298,135.530807,,,06-6921-1780,,,,高倉幼稚園,,,,,,,,,,
270008,,大阪府,大阪市,育生幼稚園,イクセイヨウチエン,,大阪府大阪市都島区都島南通2-2-15,,34.701298,135.532593,,,06-6929-0606,,,,育生学園,,,,,,,,,,
270008,,大阪府,大阪市,都島中野幼稚園,ミヤコジマナカノヨウチエン,,大阪府大阪市都島区中野町4-20-45,,34.704876,135.523087,,,06-6351-4735,,,,さくら学園,,,,,,,,,,
270008,,大阪府,大阪市,下福島幼稚園,シモフクシマヨウチエン,,大阪府大阪市福島区玉川1-4-5,,34.688522,135.482758,,,06-6447-1120,,,,下福島学園,,,,,,,,,,
270008,,大阪府,大阪市,大開幼稚園,オオヒラキヨウチエン,,大阪府大阪市福島区大開1-18-15,,34.694263,135.470932,,,06-6461-2842,,,,おおひらき学園,,,,,,,,,,
270008,,大阪府,大阪市,福島幼稚園,フクシマヨウチエン,,大阪府大阪市福島区福島2-8-1,,34.694626,135.487213,,,06-6451-5907,,,,梅風学園,,,,,,,,,,
270008,,大阪府,大阪市,朝日橋幼稚園,アサヒバシヨウチエン,,大阪府大阪市此花区西九条5-4-40,,34.684406,135.463943,,,06-6461-0877,,,,朝日橋学園,,,,,,,,,,
270008,,大阪府,大阪市,春日出幼稚園,カスガデヨウチエン,,大阪府大阪市此花区春日出北2-8-24,,34.682163,135.449234,,,06-6461-0077,,,,春日出学園,,,,,,,,,,
270008,,大阪府,大阪市,川口聖マリア幼稚園,カワグチセイマリアヨウチエン,,大阪府大阪市西区川口3-5-31,,34.681473,135.478836,,,06-6581-6078,,,,川口聖マリア幼稚園,,,,,,,,,,
270008,,大阪府,大阪市,みなと幼稚園,ミナトヨウチエン,,大阪府大阪市港区市岡1-3-29,,34.663898,135.462906,,,06-6571-0395,,,,みなと幼稚園,,,,,,,,,,
270008,,大阪府,大阪市,文化幼稚園,ブンカヨウチエン,,大阪府大阪市港区市岡元町2-1-28,,34.668282,135.469055,,,06-6582-2221,,,,文化女子学院,,,,,,,,,,
270008,,大阪府,大阪市,昭光幼稚園,シヨウコウヨウチエン,,大阪府大阪市大正区南恩加島1-12-39,,34.634304,135.472595,,,06-6551-5619,,,,昭光学園,,,,,,,,,,
270008,,大阪府,大阪市,北恩加島幼稚園,キタオカジマヨウチエン,,大阪府大阪市大正区泉尾5-17-31,,34.654488,135.467621,,,06-6551-2856,,,,北恩加島学園,,,,,,,,,,
270008,,大阪府,大阪市,天王寺幼稚園,テンノウジヨウチエン,,大阪府大阪市天王寺区北河堀町1-13,,34.649883,135.518555,,,06-6771-0877,,,,吉見学園,,,,,,,,,,
270008,,大阪府,大阪市,大阪芸術大学附属松ヶ鼻幼稚園,オオサカゲイジユツダイガクフゾクマツガハナヨウチエン,,大阪府大阪市天王寺区松ヶ鼻町4-4,,34.66024,135.524506,,,06-6771-2348,,,,塚本学院,,,,,,,,,,
270008,,大阪府,大阪市,パドマ幼稚園,パドマヨウチエン,,大阪府大阪市天王寺区下寺町1-1-30,,34.666023,135.511398,,,06-6772-1721,,,,蓮光学園,,,,,,,,,,
270008,,大阪府,大阪市,日本橋幼稚園,ニホンバシヨウチエン,,大阪府大阪市浪速区難波中2-7-5,,34.661331,135.503952,,,06-6641-6401,,,,なんば学園,,,,,,,,,,
270008,,大阪府,大阪市,大阪東邦幼稚園,オオサカトウホウヨウチエン,,大阪府大阪市淀川区木川西2-1-19,,34.723061,135.490402,,,06-6301-4581,,,,東邦学園,,,,,,,,,,
270008,,大阪府,大阪市,塚本幼稚園幼児教育学園幼稚園,ツカモトヨウチエン,,大阪府大阪市淀川区塚本1-6-25,,34.712738,135.473297,,,06-6301-2166,,,,森友学園,,,,,,,,,,
270008,,大阪府,大阪市,ひかり幼稚園,ヒカリヨウチエン,,大阪府大阪市淀川区新北野3-10-4,,34.714531,135.474716,,,06-6301-6288,,,,見真学園,,,,,,,,,,
270008,,大阪府,大阪市,木川幼稚園,キガワヨウチエン,,大阪府大阪市淀川区木川西2-8-4,,34.723522,135.489807,,,06-6301-6090,,,,専宗学園,,,,,,,,,,
270008,,大阪府,大阪市,みつや・めぐみ幼稚園,ミツヤメグミヨウチエン,,大阪府大阪市淀川区三津屋南1-16-33,,34.726707,135.475327,,,06-6309-2581,,,,妙光学園,,,,,,,,,,
270008,,大阪府,大阪市,アケミ幼稚園,アケミヨウチエン,,大阪府大阪市淀川区野中南1-1-3,,34.725704,135.485672,,,06-6302-6878,,,,年木学園,,,,,,,,,,
270008,,大阪府,大阪市,大阪成蹊短期大学附属こみち幼稚園,オオサカセイケイタンキダイガクフゾクコミチヨウチエン,,大阪府大阪市東淀川区井高野4-8-8,,34.767548,135.549377,,,06-6829-2598,,,,大阪成蹊学園,,,,,,,,,,
270008,,大阪府,大阪市,淡路幼稚園,アワジヨウチエン,,大阪府大阪市東淀川区東淡路4-12-25,,34.737518,135.518127,,,06-6321-0271,,,,光宝寺学園,,,,,,,,,,
270008,,大阪府,大阪市,豊里幼稚園,トヨサトヨウチエン,,大阪府大阪市東淀川区豊里2-6-10,,34.738297,135.538925,,,06-6320-2030,,,,大橋学園,,,,,,,,,,
270008,,大阪府,大阪市,美鳩幼稚園,ミハトヨウチエン,,大阪府大阪市東淀川区瑞光1-11-10,,34.748943,135.533737,,,06-6328-6169,,,,阪口学園,,,,,,,,,,
270008,,大阪府,大阪市,瑞光幼稚園,ズイコウヨウチエン,,大阪府大阪市東淀川区瑞光4-6-7,,34.752605,135.547546,,,06-6329-6858,,,,山野学園,,,,,,,,,,
270008,,大阪府,大阪市,瑞光第二幼稚園,ズイコウダイニヨウチエン,,大阪府大阪市東淀川区北江口2-15-13,,34.759998,135.545532,,,06-6340-2585,,,,山野学園,,,,,,,,,,
